"cause","sex","age","year","deaths"
"Cancer",1,0,1980,468
"Cancer",1,0,1981,483
"Cancer",1,0,1982,485
"Cancer",1,0,1983,496
"Cancer",1,0,1984,428
"Cancer",1,0,1985,434
"Cancer",1,0,1986,441
"Cancer",1,0,1987,405
"Cancer",1,0,1988,389
"Cancer",1,0,1989,391
"Cancer",1,0,1990,394
"Cancer",1,0,1991,401
"Cancer",1,0,1992,368
"Cancer",1,0,1993,434
"Cancer",1,0,1994,392
"Cancer",1,0,1995,404
"Cancer",1,0,1996,354
"Cancer",1,0,1997,348
"Cancer",1,0,1998,289
"Cancer",1,0,1999,326
"Cancer",1,0,2000,348
"Cancer",1,0,2001,316
"Cancer",1,0,2002,318
"Cancer",1,0,2003,324
"Cancer",1,0,2004,312
"Cancer",1,0,2005,315
"Cancer",1,0,2006,303
"Cancer",1,0,2007,282
"Cancer",1,0,2008,313
"Cancer",1,0,2009,284
"Cancer",1,0,2010,285
"Cancer",1,0,2011,283
"Cancer",1,0,2012,303
"Cancer",1,0,2013,261
"Cancer",1,0,2014,242
"Cancer",1,0,2015,265
"Cancer",1,0,2016,291
"Cancer",1,5,1980,936
"Cancer",1,5,1981,804
"Cancer",1,5,1982,903
"Cancer",1,5,1983,794
"Cancer",1,5,1984,736
"Cancer",1,5,1985,718
"Cancer",1,5,1986,703
"Cancer",1,5,1987,719
"Cancer",1,5,1988,693
"Cancer",1,5,1989,693
"Cancer",1,5,1990,666
"Cancer",1,5,1991,694
"Cancer",1,5,1992,688
"Cancer",1,5,1993,656
"Cancer",1,5,1994,656
"Cancer",1,5,1995,639
"Cancer",1,5,1996,621
"Cancer",1,5,1997,590
"Cancer",1,5,1998,628
"Cancer",1,5,1999,604
"Cancer",1,5,2000,618
"Cancer",1,5,2001,585
"Cancer",1,5,2002,649
"Cancer",1,5,2003,634
"Cancer",1,5,2004,618
"Cancer",1,5,2005,593
"Cancer",1,5,2006,548
"Cancer",1,5,2007,546
"Cancer",1,5,2008,499
"Cancer",1,5,2009,539
"Cancer",1,5,2010,517
"Cancer",1,5,2011,520
"Cancer",1,5,2012,561
"Cancer",1,5,2013,511
"Cancer",1,5,2014,521
"Cancer",1,5,2015,502
"Cancer",1,5,2016,527
"Cancer",1,15,1980,1737
"Cancer",1,15,1981,1529
"Cancer",1,15,1982,1510
"Cancer",1,15,1983,1416
"Cancer",1,15,1984,1402
"Cancer",1,15,1985,1343
"Cancer",1,15,1986,1382
"Cancer",1,15,1987,1217
"Cancer",1,15,1988,1171
"Cancer",1,15,1989,1122
"Cancer",1,15,1990,1125
"Cancer",1,15,1991,1132
"Cancer",1,15,1992,1136
"Cancer",1,15,1993,1067
"Cancer",1,15,1994,1119
"Cancer",1,15,1995,1066
"Cancer",1,15,1996,1015
"Cancer",1,15,1997,1045
"Cancer",1,15,1998,1101
"Cancer",1,15,1999,1077
"Cancer",1,15,2000,1084
"Cancer",1,15,2001,1077
"Cancer",1,15,2002,1066
"Cancer",1,15,2003,1033
"Cancer",1,15,2004,1090
"Cancer",1,15,2005,1089
"Cancer",1,15,2006,1058
"Cancer",1,15,2007,1030
"Cancer",1,15,2008,1080
"Cancer",1,15,2009,1040
"Cancer",1,15,2010,1055
"Cancer",1,15,2011,1011
"Cancer",1,15,2012,973
"Cancer",1,15,2013,916
"Cancer",1,15,2014,991
"Cancer",1,15,2015,926
"Cancer",1,15,2016,948
"Cancer",1,25,1980,2565
"Cancer",1,25,1981,2542
"Cancer",1,25,1982,2588
"Cancer",1,25,1983,2649
"Cancer",1,25,1984,2745
"Cancer",1,25,1985,2836
"Cancer",1,25,1986,2986
"Cancer",1,25,1987,2719
"Cancer",1,25,1988,2660
"Cancer",1,25,1989,2687
"Cancer",1,25,1990,2828
"Cancer",1,25,1991,2734
"Cancer",1,25,1992,2686
"Cancer",1,25,1993,2622
"Cancer",1,25,1994,2624
"Cancer",1,25,1995,2520
"Cancer",1,25,1996,2409
"Cancer",1,25,1997,2385
"Cancer",1,25,1998,2197
"Cancer",1,25,1999,2055
"Cancer",1,25,2000,1936
"Cancer",1,25,2001,1937
"Cancer",1,25,2002,1952
"Cancer",1,25,2003,1902
"Cancer",1,25,2004,1844
"Cancer",1,25,2005,1891
"Cancer",1,25,2006,1837
"Cancer",1,25,2007,1781
"Cancer",1,25,2008,1852
"Cancer",1,25,2009,1897
"Cancer",1,25,2010,1888
"Cancer",1,25,2011,1805
"Cancer",1,25,2012,1874
"Cancer",1,25,2013,1931
"Cancer",1,25,2014,1871
"Cancer",1,25,2015,1908
"Cancer",1,25,2016,1896
"Cancer",1,35,1980,5658
"Cancer",1,35,1981,5685
"Cancer",1,35,1982,5977
"Cancer",1,35,1983,6082
"Cancer",1,35,1984,6404
"Cancer",1,35,1985,6760
"Cancer",1,35,1986,6790
"Cancer",1,35,1987,6731
"Cancer",1,35,1988,7069
"Cancer",1,35,1989,7072
"Cancer",1,35,1990,7290
"Cancer",1,35,1991,7710
"Cancer",1,35,1992,7699
"Cancer",1,35,1993,7884
"Cancer",1,35,1994,7809
"Cancer",1,35,1995,7871
"Cancer",1,35,1996,7882
"Cancer",1,35,1997,7717
"Cancer",1,35,1998,7766
"Cancer",1,35,1999,7668
"Cancer",1,35,2000,7532
"Cancer",1,35,2001,7490
"Cancer",1,35,2002,7252
"Cancer",1,35,2003,7020
"Cancer",1,35,2004,6580
"Cancer",1,35,2005,6524
"Cancer",1,35,2006,6146
"Cancer",1,35,2007,5882
"Cancer",1,35,2008,5644
"Cancer",1,35,2009,5554
"Cancer",1,35,2010,5289
"Cancer",1,35,2011,5168
"Cancer",1,35,2012,4989
"Cancer",1,35,2013,4957
"Cancer",1,35,2014,4953
"Cancer",1,35,2015,4791
"Cancer",1,35,2016,4744
"Cancer",1,45,1980,21022
"Cancer",1,45,1981,20663
"Cancer",1,45,1982,20287
"Cancer",1,45,1983,19736
"Cancer",1,45,1984,19510
"Cancer",1,45,1985,19355
"Cancer",1,45,1986,19181
"Cancer",1,45,1987,19326
"Cancer",1,45,1988,19764
"Cancer",1,45,1989,19940
"Cancer",1,45,1990,20074
"Cancer",1,45,1991,20201
"Cancer",1,45,1992,20847
"Cancer",1,45,1993,21344
"Cancer",1,45,1994,21984
"Cancer",1,45,1995,22090
"Cancer",1,45,1996,22543
"Cancer",1,45,1997,22972
"Cancer",1,45,1998,23358
"Cancer",1,45,1999,23996
"Cancer",1,45,2000,24600
"Cancer",1,45,2001,25462
"Cancer",1,45,2002,25557
"Cancer",1,45,2003,25908
"Cancer",1,45,2004,25814
"Cancer",1,45,2005,25807
"Cancer",1,45,2006,25773
"Cancer",1,45,2007,25752
"Cancer",1,45,2008,26111
"Cancer",1,45,2009,25839
"Cancer",1,45,2010,25590
"Cancer",1,45,2011,24715
"Cancer",1,45,2012,24337
"Cancer",1,45,2013,23332
"Cancer",1,45,2014,22410
"Cancer",1,45,2015,21547
"Cancer",1,45,2016,20256
"Cancer",1,55,1980,53413
"Cancer",1,55,1981,53721
"Cancer",1,55,1982,54606
"Cancer",1,55,1983,55138
"Cancer",1,55,1984,56070
"Cancer",1,55,1985,56239
"Cancer",1,55,1986,55293
"Cancer",1,55,1987,55225
"Cancer",1,55,1988,54619
"Cancer",1,55,1989,53994
"Cancer",1,55,1990,53431
"Cancer",1,55,1991,52641
"Cancer",1,55,1992,51315
"Cancer",1,55,1993,50806
"Cancer",1,55,1994,49870
"Cancer",1,55,1995,48684
"Cancer",1,55,1996,48132
"Cancer",1,55,1997,47504
"Cancer",1,55,1998,48062
"Cancer",1,55,1999,49489
"Cancer",1,55,2000,49084
"Cancer",1,55,2001,49917
"Cancer",1,55,2002,51795
"Cancer",1,55,2003,52612
"Cancer",1,55,2004,53488
"Cancer",1,55,2005,54793
"Cancer",1,55,2006,56080
"Cancer",1,55,2007,57397
"Cancer",1,55,2008,58359
"Cancer",1,55,2009,59907
"Cancer",1,55,2010,61540
"Cancer",1,55,2011,63334
"Cancer",1,55,2012,63519
"Cancer",1,55,2013,63671
"Cancer",1,55,2014,64770
"Cancer",1,55,2015,65107
"Cancer",1,55,2016,64637
"Cancer",1,65,1980,74616
"Cancer",1,65,1981,75835
"Cancer",1,65,1982,77752
"Cancer",1,65,1983,79115
"Cancer",1,65,1984,80495
"Cancer",1,65,1985,81898
"Cancer",1,65,1986,83843
"Cancer",1,65,1987,85683
"Cancer",1,65,1988,85977
"Cancer",1,65,1989,88113
"Cancer",1,65,1990,89537
"Cancer",1,65,1991,90673
"Cancer",1,65,1992,91071
"Cancer",1,65,1993,92512
"Cancer",1,65,1994,92165
"Cancer",1,65,1995,91718
"Cancer",1,65,1996,90710
"Cancer",1,65,1997,88257
"Cancer",1,65,1998,87015
"Cancer",1,65,1999,86066
"Cancer",1,65,2000,84606
"Cancer",1,65,2001,83138
"Cancer",1,65,2002,81400
"Cancer",1,65,2003,79127
"Cancer",1,65,2004,77809
"Cancer",1,65,2005,78027
"Cancer",1,65,2006,76828
"Cancer",1,65,2007,77278
"Cancer",1,65,2008,79038
"Cancer",1,65,2009,79331
"Cancer",1,65,2010,81149
"Cancer",1,65,2011,81725
"Cancer",1,65,2012,85229
"Cancer",1,65,2013,87326
"Cancer",1,65,2014,89686
"Cancer",1,65,2015,92331
"Cancer",1,65,2016,93434
"Cancer",1,75,1980,52015
"Cancer",1,75,1981,52872
"Cancer",1,75,1982,55486
"Cancer",1,75,1983,57728
"Cancer",1,75,1984,59253
"Cancer",1,75,1985,61323
"Cancer",1,75,1986,63340
"Cancer",1,75,1987,65399
"Cancer",1,75,1988,67519
"Cancer",1,75,1989,70154
"Cancer",1,75,1990,72508
"Cancer",1,75,1991,74707
"Cancer",1,75,1992,76352
"Cancer",1,75,1993,78183
"Cancer",1,75,1994,79265
"Cancer",1,75,1995,80727
"Cancer",1,75,1996,81878
"Cancer",1,75,1997,82984
"Cancer",1,75,1998,84148
"Cancer",1,75,1999,87278
"Cancer",1,75,2000,88226
"Cancer",1,75,2001,88529
"Cancer",1,75,2002,89284
"Cancer",1,75,2003,89761
"Cancer",1,75,2004,89112
"Cancer",1,75,2005,89515
"Cancer",1,75,2006,88953
"Cancer",1,75,2007,88497
"Cancer",1,75,2008,87324
"Cancer",1,75,2009,86044
"Cancer",1,75,2010,85470
"Cancer",1,75,2011,84924
"Cancer",1,75,2012,84307
"Cancer",1,75,2013,84015
"Cancer",1,75,2014,84482
"Cancer",1,75,2015,84377
"Cancer",1,75,2016,84479
"Cancer",1,85,1980,16381
"Cancer",1,85,1981,16835
"Cancer",1,85,1982,17674
"Cancer",1,85,1983,18177
"Cancer",1,85,1984,18640
