"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.0237346569967925,0.0115731576893821,0.0369733811780328,0,1,"Transport accidents"
"2",0.0228821444930836,0.0105912486819635,0.0359480514539312,0,1,"Transport accidents"
"3",0.0193790368939943,0.00564880411815002,0.0322056361974554,0,1,"Transport accidents"
"4",0.020147912727987,0.00622237731530245,0.0337751345505789,0,1,"Transport accidents"
"5",0.0195196365211689,0.00511828157433164,0.0333478806055091,0,1,"Transport accidents"
"6",0.0196997174318486,0.00478004730394844,0.0341495588090093,0,1,"Transport accidents"
"7",0.0201005083451104,0.00491322786939101,0.0350401965266358,0,1,"Transport accidents"
"8",0.0197535776785552,0.00419670465512328,0.0347579495980354,0,1,"Transport accidents"
"9",0.019691588270641,0.00413316620531576,0.034536126714074,0,1,"Transport accidents"
"10",0.02033178158578,0.00563254582160219,0.0345947803373352,0,1,"Transport accidents"
"11",0.0220494092388303,0.00889164710158418,0.0356843150619518,0,1,"Transport accidents"
"12",0.0212968861725506,0.00892202255598201,0.0335583539779861,0,1,"Transport accidents"
"13",0.0160976965618708,0.0042171011152925,0.0281068407129627,5,1,"Transport accidents"
"14",0.0203943572403554,0.00838722463342356,0.0336362148968876,5,1,"Transport accidents"
"15",0.0199409331709416,0.00716502162833979,0.0339331549655244,5,1,"Transport accidents"
"16",0.0218190136728601,0.00763941342325852,0.0389762025206192,5,1,"Transport accidents"
"17",0.0108069033691649,-0.00318845167884372,0.0246287910461972,5,1,"Transport accidents"
"18",0.00158946417687017,-0.0151272194072722,0.0159135337521938,5,1,"Transport accidents"
"19",-0.00269883461899977,-0.021078258720427,0.0126145207772183,5,1,"Transport accidents"
"20",-0.000846287605896923,-0.0188359352581671,0.0143167073968422,5,1,"Transport accidents"
"21",0.00746422603539785,-0.00819874045421004,0.0230773458984144,5,1,"Transport accidents"
"22",0.0119382049202757,-0.002276905819663,0.0272490759017028,5,1,"Transport accidents"
"23",0.0121447028510536,-0.000881003773679691,0.0252194979765728,5,1,"Transport accidents"
"24",0.0135482546927072,0.0020105829220028,0.024997473780081,5,1,"Transport accidents"
"25",0.0180724277123339,0.0124369153509902,0.0238703802077968,15,1,"Transport accidents"
"26",0.0181951742380101,0.0123801711693328,0.0241250656302657,15,1,"Transport accidents"
"27",0.0172120285551936,0.010809296993093,0.0235446830951078,15,1,"Transport accidents"
"28",0.0181294854476441,0.0112019099095493,0.0253156072010706,15,1,"Transport accidents"
"29",0.0178764971443248,0.0109044985336792,0.0251996853895458,15,1,"Transport accidents"
"30",0.0155530771979259,0.00811937544424464,0.0230488122118675,15,1,"Transport accidents"
"31",0.0133945819629104,0.0056733502994886,0.0209995903932271,15,1,"Transport accidents"
"32",0.0107785398674711,0.00264944687859427,0.018410382977993,15,1,"Transport accidents"
"33",0.00939142553705123,0.00086122892971887,0.01710402386969,15,1,"Transport accidents"
"34",0.0104357626008038,0.00283196950319959,0.0175089429803867,15,1,"Transport accidents"
"35",0.0128310382069349,0.00634975807341523,0.019071304273149,15,1,"Transport accidents"
"36",0.0169345253848496,0.0115059167242139,0.0225328580956037,15,1,"Transport accidents"
"37",0.0145069393050704,0.00832563294348118,0.0209633795126447,25,1,"Transport accidents"
"38",0.014721939885019,0.0083942143262394,0.0211753051688,25,1,"Transport accidents"
"39",0.0131535881522233,0.00588016332897399,0.0200986448354537,25,1,"Transport accidents"
"40",0.0159684668634223,0.00824605036137232,0.0239131164365542,25,1,"Transport accidents"
"41",0.0165930930823726,0.00876404061730875,0.0245700060611245,25,1,"Transport accidents"
"42",0.0174028935954883,0.00909187677872414,0.026055067201137,25,1,"Transport accidents"
"43",0.0194029187567248,0.0107104720985252,0.0292450068729488,25,1,"Transport accidents"
"44",0.0149412163746359,0.006340368902439,0.0238557777069692,25,1,"Transport accidents"
"45",0.0116223982463679,0.00290081158736497,0.0203984071763874,25,1,"Transport accidents"
"46",0.00581553446586978,-0.00332388337431561,0.0138820647515212,25,1,"Transport accidents"
"47",0.00601174707659572,-0.00185029166740559,0.0131184427985216,25,1,"Transport accidents"
"48",0.0113878858933733,0.00543361560381179,0.0173801063761711,25,1,"Transport accidents"
"49",0.0100409860798941,0.00367704061198339,0.0163037364116639,35,1,"Transport accidents"
"50",0.0119615110924394,0.00559071993152749,0.0185263720626677,35,1,"Transport accidents"
"51",0.0111476300942423,0.00398338953730984,0.0181168181474942,35,1,"Transport accidents"
"52",0.0128137872565331,0.0051253581575777,0.0206491275569857,35,1,"Transport accidents"
"53",0.0137983502069846,0.00601049822455308,0.0218717606137559,35,1,"Transport accidents"
"54",0.0147637802776885,0.00655233495331219,0.0236323138947406,35,1,"Transport accidents"
"55",0.0139015664247729,0.00552028857176426,0.0228129111866068,35,1,"Transport accidents"
"56",0.0109410966221935,0.00211228373634351,0.0194564110982453,35,1,"Transport accidents"
"57",0.00973092623595986,0.000782508301719642,0.0181449059408507,35,1,"Transport accidents"
"58",0.0107493705693729,0.00281227489302256,0.0187119353831295,35,1,"Transport accidents"
"59",0.010730118251097,0.00375197061138335,0.0178380877073477,35,1,"Transport accidents"
"60",0.00875735580053102,0.00237342488621038,0.0148740538389056,35,1,"Transport accidents"
"61",0.00782814170771354,0.000647112538234134,0.0146802596861362,45,1,"Transport accidents"
"62",0.00964243716657456,0.00238260727090769,0.0165923782707263,45,1,"Transport accidents"
"63",0.0136720686321698,0.00592638824663524,0.0212746112903536,45,1,"Transport accidents"
"64",0.0213117351688845,0.0125191226964237,0.0313234524354929,45,1,"Transport accidents"
"65",0.0219288402859423,0.0131137557568306,0.0315787219158349,45,1,"Transport accidents"
"66",0.0216925876060332,0.0124274060739037,0.0317955006857874,45,1,"Transport accidents"
"67",0.0187053103713206,0.00919004082133488,0.028323117671072,45,1,"Transport accidents"
"68",0.0190439541498724,0.00950091696944686,0.0293255061057209,45,1,"Transport accidents"
"69",0.0161448985745556,0.00662539153317395,0.0260805243542087,45,1,"Transport accidents"
"70",0.0124188111782214,0.00344423019618922,0.0212685368440173,45,1,"Transport accidents"
"71",0.00979991666487604,0.00192059508174844,0.017476539172596,45,1,"Transport accidents"
"72",0.00754290025565978,0.000549886568760052,0.0142358387347028,45,1,"Transport accidents"
"73",0.0170807992242587,0.0101167290431493,0.024303168051248,55,1,"Transport accidents"
"74",0.016458000998063,0.00921200585226965,0.0235058153605336,55,1,"Transport accidents"
"75",0.019039562802869,0.0113987113825319,0.0270616358560361,55,1,"Transport accidents"
"76",0.0205247804331196,0.0119591606445913,0.0300379023755896,55,1,"Transport accidents"
"77",0.0185880983658821,0.00964950194284239,0.0276726484628782,55,1,"Transport accidents"
"78",0.0178598670726349,0.00842975137274722,0.0273190315331249,55,1,"Transport accidents"
"79",0.0172107049579824,0.00760094926195326,0.0267735547856007,55,1,"Transport accidents"
"80",0.0164197465596645,0.00658619302496025,0.026032088049597,55,1,"Transport accidents"
"81",0.0164988082357591,0.00691600247245745,0.0260681073145778,55,1,"Transport accidents"
"82",0.0162401743294437,0.007390369708732,0.0251070321267726,55,1,"Transport accidents"
"83",0.0160463054988347,0.00824335911439764,0.0239484559528071,55,1,"Transport accidents"
"84",0.0137414790203517,0.00638494373644469,0.0205937561034024,55,1,"Transport accidents"
"85",0.0074087217527559,-0.000607738732017023,0.0151248467475635,65,1,"Transport accidents"
"86",0.00796351903906141,-0.000166930634986483,0.0158452222814535,65,1,"Transport accidents"
"87",0.0112440719193439,0.00264693907075871,0.0207189443797073,65,1,"Transport accidents"
"88",0.00938736188650202,-0.000301073165376538,0.0190695359674819,65,1,"Transport accidents"
"89",0.00800457560754061,-0.00252063596962535,0.0178283464077958,65,1,"Transport accidents"
"90",0.0108422208776032,0.000523968967215188,0.0218950051468086,65,1,"Transport accidents"
"91",0.0116395727449886,0.00110852695706013,0.0233361404256974,65,1,"Transport accidents"
